Title,Price,Number of Bedrooms,Number of Bathrooms,Property Type,Floor Area (m2),BER Rating,Latitude,Longitude,Listing Views,Area,County,Features,Date of Construction,Price_Per_SQM,Postal_District,Market_Tier
"Cherry View, Glenabbey Road, Mount Merrion, Co. Dublin, A94C1P8",1295000.0,4,3,Detached,173.0,B3,53.294009,-6.216541,12268.0,mount-merrion-dublin,Dublin,"4 bedroom (2 Ensuite), 3 bathrooms + Visitors WC, Detached, B3 rated, 173 sq.m (including 2 Attic Rooms)., Overlooking ""The Deerpark"", a 32-acre public park owned and maintained by DLRD County Council. Family-friendly and open 24/7, it provides facilities f, Exceptional, modern, recently refurbished four-bedroom (2 Ensuite) detached family home. Large Attic with 2 separate attic rooms plus ample storage sp, Private south facing maintenance free rear garden. Beautifully landscaped front and rear gardens which are entirely private and secluded with mature s, Set behind secure Electronic Automated Wrought Iron Gates with generous off-street parking, Very high specification finish throughout. Generous, tastefully presented and well-proportioned family accommodation., Refurbished recently - Located in a most sought-after family orientated area, Contemporary Ivory fitted kitchen and Pearl Black stone countertops., Bright crema marfil tiled floor hall and Kitchen / Dining room., GFCH Gas fired central heating with underfloor heating throughout the ground floor. Radiators on the first and second floors.",2006.0,7485.549132947976,Greater Dublin,Premium
"54 Woodbine Road, Blackrock, Co. Dublin, A94WF22",1950000.0,4,3,Detached,236.0,SI_666,53.310169,-6.209308,12732.0,blackrock-dublin,Dublin,"Standing on a site of approx. 0.30 Acres (0.12 Hectares), offering superb development potential, subject to pp , Circa. 53 metres of Road frontage onto Woodbine Road , South facing rear garden , Excellent family accommodation of approx. 236m2 (2,540 sqft)  , Beside Booterstown and Blackrock Villages , Off Street-Parking & Garage , Close to local schools, the Booterstown Dart and bus routes, Convenient to city centre",1952.0,8262.71186440678,Greater Dublin,Premium
"108 Foxrock Avenue, Foxrock, Foxrock, Dublin 18, D18T9H3",995000.0,4,5,Detached,,C1,53.278268,-6.173779,8172.0,foxrock-dublin,Dublin,"Spacious four-bedroom family home measuring approx. 201 sq. m/ 2,163sq. ft., Extremely well proportioned living accommodation, Located in a most sought after family estate, Gas Fired central Heating, Full planning permission to expand further (Ref d21B/0293) & D24B/0157, Self contained room at garden level, A host of top primary and secondary schools just a short walk away, Well served by public transport , Magnificent 40m (140ft) garden",1985.0,,Dublin 18,Premium
"6 Watson Place, Dublin 16, Rathfarnham, Dublin 16, D16X8Y7",1500000.0,4,4,Detached,201.0,A2,53.287193,-6.30525,11305.0,rathfarnham-dublin,Dublin,,,7462.686567164179,Dublin 16,Premium
"19 Heytesbury Street, Portobello, Dublin 8, D08Y2R4",1445000.0,4,5,Terrace,227.0,SI_666,53.334858,-6.268966,24707.0,portobello-dublin,Dublin,,,6365.638766519824,Dublin 8,Premium
"20-24 Eglinton Road, Dublin 4, D04V2T9",2750000.0,4,4,Detached,329.0,D1,53.318722,-6.2347,21871.0,dublin-4-dublin,Dublin,"Magnificent architect designed residence approx. 329 sq. m. / 3540 sq. ft., Two converted and merged Victorian residences with modern Mews feel, 4 bed, 4 bath, 4/5 reception , West facing rear garden approx. 50 feet deep incorporating sunken patio terrace, and planted with mature trees and shrubs, Library / home office with separate entrance for privacy if required, Vehicular rear access and secure off street parking for up to 3 cars, Pedestrian gate from Eglinton Road leading to double height glass facade front entrance , Beautifully landscaped front garden with irrigation, Pedestrian entrance way and entire ground floor is wheelchair accessible, The ground floor has underfloor heating throughout while the upper floor has discreet skirting heating",,8358.662613981764,Dublin 4,Premium
"1 Thulla Dunbo Hill Howth, Howth, Dublin 13, D13V089",5500000.0,5,6,Detached,662.0,,53.387728,-6.070834,52815.0,howth-dublin,Dublin,"7,100 sqft of newly appointed accommodation, Exquisite views from almost every room over three floors, Unbeatable location in the heart of Howth Village, Unparalleled standard of finish throughout, Every conceivable modern comfort catered for, Indoor / outdoor wellness spa, Parking for 5 cars, Small private gated community, Home Gym, Home Cinema",,8308.157099697884,Dublin 13,Premium
"Glenshee House, Brownstown, Balheary",975000.0,6,6,Detached,337.0,B2,53.4964076,-6.2444338,19411.0,swords-dublin,Dublin,"Detached Home, B2 Rating, Approx. 1.2 acres, 337.3 sq m living space, 5/6 bedrooms, Beautifully appointed, Double Garage, Stunning location",2006.0,2893.1750741839764,Greater Dublin,Premium
"Weston 12 Alma Road Monkstown, Monkstown, Co. Dublin, A94FH99",1950000.0,7,5,Semi-D,483.0,,53.297156,-6.165702,18614.0,monkstown-dublin,Dublin,"A magnificent Victorian residence in the heart of Monkstown, Off street car parking to the front, Well laid out accommodation of approx 483 sq.m (5,200 sq.ft.), Short walk to the DART and swimming at Seapoint, Pleasant views over the Dublin Bay from the attic room, Numerous period details intact to include cornice work and ornate centre roses, Regular bus service on Monkstown Road and short walk to the DART, Close to both Monkstown village and Blackrock, Gas fired central heating",,4037.2670807453414,Greater Dublin,Premium
"Kinvara, 712 Howth Road, Raheny, Dublin 5, D05A2A0",,4,3,Detached,229.0,C3,53.381147,-6.15775,0.0,raheny-dublin,Dublin,,,,Dublin 5,
"14 Haddington Place, Ballsbridge, Dublin 4, D04K3V1",1595000.0,4,4,Detached,290.0,C2,53.334779,-6.240565,10679.0,ballsbridge-dublin,Dublin,,2001.0,5500.0,Dublin 4,Premium
"Dun Gealain, 23 Woodbine Avenue, Booterstown, Co. Dublin, A94CR97",995000.0,5,5,Semi-D,197.0,E1,53.309654,-6.211572,9211.0,booterstown-dublin,Dublin,"Superb setting within a stroll of the sea front  , Prime residential location, Gas fired central heating, Sunny rear garden , Semi-detached in a quiet location , Walking distance of premier schools , Close to the Quick Bus Corridor giving swift access to the city , Walking distance of UCD, Blackrock Clinic and the DART,  Stroll to Blackrock centre",1955.0,5050.761421319797,Greater Dublin,Premium
"Apartment 99, Forbes Quay Apartments, Grand Canal Dock, Dublin 2, D02X654",475000.0,2,2,Apartment,65.0,C2,53.345489,-6.239353,17295.0,grand-canal-dock-dublin,Dublin,"Modern 2 Bedroom Apartment, Owner Occupied- No Rent Restrictions, Excellent Riverside Location, Close to Coffee Shops, Restaurants and Hotels , Adjacent Grand Canal Plaza and Bord Gais Theatre, Close to the Luas and Dart, Walking Distance of St Stephens Green, Gas Fired Central Heating, Dual Aspect with Balconies from Bedrooms and Living room, Large Storage Room",2005.0,7307.692307692308,Dublin 2,Mid-Market
"Beaumont Lodge, Beaumont Avenue, Churchtown, Dublin 14, D14DY86",1400000.0,3,2,Detached,168.0,A3,53.29249,-6.257393,22389.0,churchtown-dublin,Dublin,"168 sq. mÂ² (1,808 sq. ft.)  Excluding   independent office / playroom of 15 sq. m (161 sq.m.) approx.",1888.0,8333.333333333334,Dublin 14,Premium
"Rathdown Manor, Ballycorus Road, Rathmichael, Co. Dublin, D18T104",2690000.0,7,6,Detached,910.0,B3,53.234797,-6.166122,12882.0,rathmichael-dublin,Dublin,"Unique Seven bedroom residence of approximately 490sqm (5,274 sqft) plus approximately 420sqm (4,520 sqft) of very valuable non residential space. , Ornate cornicing with eye catching attractive detail. , B3 energy rating qualifying for a green mortgage. , Seven Bedrooms, Three Jacuzzi Baths, Six power showers. , Cast iron decorative balustrades and two Adams style Fireplaces. , Double glazed windows throughout with diamond cut glass. , Polished American Oak timber throughout. , Electricity and water tap points generously situated throughout the entire grounds. , Centralised vacuuming system throughout. ,  Kerosene Oil fired central heating.",2007.0,2956.043956043956,Greater Dublin,Premium
"Bramley Hill, Old Carrickbrack Road, Howth, Co. Dublin, D13PH31",3950000.0,5,4,Detached,387.0,C1,53.367725,-6.075962,18899.0,howth-dublin,Dublin,"Panoramic sea views across Dublin Bay, 5 bedrooms, Secluded location on Danesfort Avenue, South-facing aspect, Exquisite landscaped gardens and grounds, About 1 acre",1999.0,10206.71834625323,Greater Dublin,Premium
"Beacon Lodge Skidoo Ballyboughal, Ballyboughal, Co. Dublin, A41HH67",1275000.0,5,4,Detached,410.0,B3,53.499053,-6.269373,10898.0,ballyboughal-dublin,Dublin,,2008.0,3109.756097560976,Greater Dublin,Premium
"93 Butterfield Avenue, Rathfarnham, Rathfarnham, Dublin 14, D14P039",850000.0,4,2,Semi-D,161.0,F,53.296645,-6.295897,9891.0,rathfarnham-dublin,Dublin,"Spacious, well-proportioned family home., Generous front and rear gardens, with side access to the rear garden., Potential to extend if required (subject to P.P.) , Large attic ideal for conversion should one desire., Excellent location close to a range of amenities and schools., OFCH/ALARM",1970.0,5279.503105590062,Dublin 14,Premium
"75 Palmerston Road, Rathmines, Rathmines, Dublin 6, D06H9T8",2750000.0,4,3,Terrace,,SI_666,53.319377,-6.259095,18521.0,rathmines-dublin,Dublin,"GFCH €"" Underfloor heating downstairs , Refurbished and extended in recent years including repointing the brickwork , Villeroy & Boch and Hansgrohe bathroom fittings , Siematic kitchen with Gagganeau appliances , Host of period features intact including fireplaces, restored timber floors, doors and window shutters, High ceilings with restored ceiling cornicing and centre roses, Surround sound system at garden level and bathrooms, Off-street parking behind electric gates, Rear access , Beside local shops on Dunville Avenue, LUAS, Ranelagh & Rathmines ",,,Dublin 6,Premium
"20 Hampton Crescent, Saint Helen's Wood, Booterstown, Co. Dublin, A94EP95",795000.0,3,2,End of Terrace,86.0,D1,53.30306,-6.201821,9604.0,booterstown-dublin,Dublin,"Quiet Cul-de-Sac Development, 3 Bedroom End of Terrace House, Viessmann Gas Fired Central Heating,  Alarm, Double Glazed Windows, Gated Side Entrance,   Designated Car Parking , Pedestrian Access via a Pleasant Wooded Path from St Helens Wood to St Helens Radisson Hotel,  Adjacent St Andrews College, Blackrock College and Willow Park Junior School, Close to DART and Bus Routes",1991.0,9244.186046511628,Greater Dublin,Premium
"65 Leeson Close, Dublin 2, Dublin 2, D02DK19",1695000.0,3,3,Terrace,195.0,SI_666,53.333856,-6.253738,16663.0,dublin-2-dublin,Dublin,"Landscaped South West facing sunny rear garden, Underfloor Heating at Ground Floor Level & Pro Air €, Secure Electric Garage with off-street Parking & provision for e-charging, Refurbished in circa 2020, Bespoke Kitchen with sleek brass handles",,8692.307692307691,Dublin 2,Premium
2 Seafield,790000.0,4,3,Detached,141.0,B3,53.3965664,-6.1376175,10836.0,baldoyle-dublin,Dublin,"Beautifully presented 4-bedroom detached home, Gas fired central heating, Triple glazed windows, Superb coastal location close to all amenities, Spacious South facing side garden with cobble locked patio and barbeque area, Off street parking via electric gates., Easy walking distance to the coast and local parklands., Excellent choice of schools and sports clubs within walking distance Good transport connectivity to Dublin City Centre, Dublin Airport and the M1 & M",,5602.836879432624,Greater Dublin,Premium
"Apartment 65, Old City Music Hall, Dublin 8, D08E227",750000.0,3,2,Apartment,86.0,C1,53.344058,-6.269186,18139.0,dublin-8-dublin,Dublin,,,8720.93023255814,Dublin 8,Premium
"7 Raglan Road, Dublin 4, Co. Dublin, D04V0N0",3800000.0,5,4,Terrace,406.0,,53.33099,-6.238539,13575.0,dublin-4-dublin,Dublin,"A classic Victorian townhouse, Attractive period features throughout, Renovated and extended, Sunny west facing garden, Prime Ballsbridge residential road, 10 minute walk to St. Stephen's Green",,9359.605911330049,Dublin 4,Premium
"29 Bow Lane West, Dublin 8, Kilmainham, Dublin 8, D08V44T",1200000.0,0,0,Site,0.09,,53.343128,-6.293047,8371.0,kilmainham-dublin,Dublin,,,,Dublin 8,Premium
"7 Ashwood Hall, Back Road, Malahide, Co. Dublin, K36WP76",1890000.0,5,4,Detached,260.0,A2,53.43925,-6.161354,27843.0,malahide-dublin,Dublin,"Fully furnished stunning five-bedroom detached show home on corner site in one of Malahide’s most sought-after family friendly estates., On Malahide prestigious Back Road just a stones throw from Malahide Castle and Demesne., Fully landscaped west facing rear garden with firepit, large granite patio and mature border planting., Opposite large green area, ideal for children to safely play., Higher than average 9-foot ceilings to ground floor., Planning permission in place for full attic conversion (plans available on request)., Covered porch / boot area off utility room., Air to water heat pump with underfloor heating to ground level | Heat recovery ventilation system., Just c. 15 minutes’ walk to Malahide bustling village and Dart Station | Within easy reach of local primary and secondary schools., c. 10 minutes’ drive from M1/M50 motorways | c. 15 minutes’ drive from Dublin International Airport.",2021.0,7269.2307692307695,Greater Dublin,Premium
"Glasthule Lodge, Adelaide Road, Glasthule, Co. Dublin, A96D2W1",3600000.0,4,3,Detached,336.0,SI_666,53.282167,-6.123889,41361.0,glasthule-dublin,Dublin,,,10714.285714285714,Greater Dublin,Premium
"1 Monte Vella, Bradda, Dalkey, Co. Dublin, A96RX71",1500000.0,3,2,End of Terrace,168.0,B1,53.27793,-6.109297,32388.0,dalkey-dublin,Dublin,"Luxury Spacious Home with Architect Designed Interiors, Modern & Fully Fitted to the Highest Standards throughout this lovely House, Private Landscaped Patio Garden , Light & Bright Living Rooms, Light Filled Dining Room overlooking the Patio Garden , Unique Inner Courtyard, Comfortable Bedrooms, Utility/Laundry/Storage Room, B1 Energy Rating/Double Glazing throughout/Solar Panels, Off Road Private Parking",1890.0,8928.57142857143,Greater Dublin,Premium
"30 Sandycove Road, Sandycove, Sandycove, Co. Dublin, A96V9P1",1750000.0,6,2,Semi-D,393.0,F,53.285736,-6.116,17361.0,sandycove-dublin,Dublin,Prime Commercial and Residential Property for Sale,1830.0,4452.926208651399,Greater Dublin,Premium
"58 Rathgar Road, Rathgar, Dublin 6, D06X2N2",1950000.0,6,6,Terrace,358.0,,53.316306,-6.27159,30629.0,rathgar-dublin,Dublin,"Approx. 358 sq m, Substantial property with accommodation spread over 4 levels, Electric gates with video bell, Triple glazed windows throughout the front of the property (double glazed throughout rear), Excellent condition, Period features such as ornate coving, fireplaces, staircase, high ceilings provide the property with excellent character, Prime Dublin 6 location, Games room at basement level presents a flexible space that could suit a variety of uses, Within short walking distance of Rathgar and Rathmines villages, Excellent services and amenities in the area",,5446.927374301676,Dublin 6,Premium
"78 Watson Drive, Killiney, Co. Dublin, A96N4F3",730000.0,5,2,Semi-D,134.0,D1,53.259462,-6.132512,17184.0,killiney-dublin,Dublin,"Off street parking to the front., Nicely appointed accommodation., East facing rear garden., Adjacent to Kilbogget Park & its amenities., Close to a selection of shops, restaurants, and schools., Excellent transport links nearby., Oil Fired Central heating., Solid fuel back boiler central heating, Double glazed throughout., Wired for both Virgin Media & Sky fibre broadband",1972.0,5447.761194029851,Greater Dublin,Premium
"267 Griffith Avenue, Drumcondra, Dublin 9, D09E2F6",1950000.0,4,4,Semi-D,238.0,B2,53.37651,-6.252183,55909.0,drumcondra-dublin,Dublin,"Spacious Four/Five-bedroom semi-detached home spanning approx. 238 sq. mtrs / 2,562 sq. ft of beautifully appointed accommodation, Renovated, extended and modernised in 2012, Four double Bedrooms, CCTV Cameras in operation, Bright contemporary accommodation, Underfloor zoned heating, GFCH - Combi Boiler, Excellent BER Rating B2, All integrated High quality Siemens appliances included in the sale - Oven, Steam Oven, Microwave Oven, Warming drawer, Built in Coffee Machine, Tumbl, Floors, Walls & Ceiling - Internally Insulated",1934.0,8193.27731092437,Dublin 9,Premium
"129 Glenageary Avenue, Dun Laoghaire, A96 N9Y6, Glenageary, Co. Dublin, A96N9Y6",800000.0,5,2,Semi-D,159.0,C3,53.276731,-6.135578,31107.0,glenageary-dublin,Dublin,"Sought after location, Large back garden, 5 Bedrooms, Oil heating, Double Glazing, Off street parking, Close to public transport links, Close to all amenities, Large balcony, Internal Viewings Recommended",1963.0,5031.446540880504,Greater Dublin,Premium
"180 Ballygall Road East, Glasnevin, Dublin 11, D11A436",395000.0,2,1,Detached,,D1,53.388169,-6.279912,57370.0,glasnevin-dublin,Dublin,"Detached Residence, Centrally Located, Beautiful Front Garden, Large Rear Patio, Close to All Amenities, And Public Transport, Secure Private Parking, D11A436",2000.0,,Dublin 11,Mid-Market
"Ard Aoibhinn, 16 Taney Road, Dundrum, Dublin 14, D14A5R6",1795000.0,5,4,Detached,326.0,C3,53.291563,-6.240098,48784.0,dundrum-dublin,Dublin,,1936.0,5506.134969325153,Dublin 14,Premium
"New Homes At Foxrock Avenue, New Homes At Foxrock Avenue, Foxrock, Dublin 18",,0,0,Houses,,,53.277738,-6.173952,3550.0,foxrock-dublin,Dublin,,,,Dublin 18,
"PROSPECT BAY, Mount Prospect Avenue, Clontarf, Dublin 3",,2,0,Houses,,A3,53.36736510720675,-6.173705197981917,29070.0,clontarf-dublin,Dublin,"1 bed, 2 bed and 3 bed apartments in a stunning location, The highest Standards of finishes throughout, Lift access from car park to all levels, A3 Building Energy Rating Energy Rating, Private landscaped woodland to the rear common gardens and additional open space for apartment residents to enjoy, One allocated car parking space for each apartment and two for penthouses., Custom designed contemporary kitchens designed by BESPACE Kitchens, Direct Views of St Annes Park, Dublin Bay, Howth & Dublin City Centre",,,Dublin 3,
