Title,Price,Number of Bedrooms,Number of Bathrooms,Property Type,Floor Area (m2),BER Rating,Latitude,Longitude,Listing Views,Area,County,Features,Date of Construction
"38 The Rise, Knocknacarra, Co. Galway, H91W95F",385000,4,3,Semi-D,N/A,D1,53.266458,-9.110908,8251,knocknacarra-galway,Galway,"Bright spacious four bedroom semi on corner site., South facing sun filled walled back garden., Within walking distance of schools parks and shopping centres., Ideal family home with most amenities on your doorstep.",1989
"Apartment 1, 64 Mountjoy Square West, Dublin 1, D01YY73",275000,2,1,Apartment,67,E1,53.356316,-6.258954,5203,dublin-1-dublin,Dublin,,1900
"Type B, A Distinctive Homes Development at Ard Na Ri, Castlelyons, Co. Cork, P61DT18",395000,4,3,Semi-D,134,A3,52.086807,-8.239865,2386,castlelyons-cork,Cork,,NA
"Kildoney Glebe, Ballyshannon, Co. Donegal, F94XD77",350000,3,2,Detached,195,C2,54.520336,-8.259232,3716,ballyshannon-donegal,Donegal,,2004
"Curraghchase , Kilcornan, Co. Limerick, V94X6T1",Price on Application,4,5,Detached,409,C3,52.604386,-8.882837,5197,kilcornan-limerick,Limerick,"House extending to 4400Sq.Ft finished to highest standards   , Mature Lawns & Gardens , Stable barn includes 4 stables and tack room, Horse Arena 55m x 35m, 3 no. Paddocks , Detached Garage/Workshop extending to 1250Sq.Ft., Large Car Port / Patio Area , Shannon Airport 40 Minutes, Raheen Industrial Estate 20 Minutes, Adare 10 Minutes",2002
"23 Hand Street, Drogheda, Co. Louth, A92HW63",295000,3,1,Terrace,82,B2,53.719236,-6.339106,4876,drogheda-louth,Louth,,1940
"Beech Lodge, Beltichburne, Termonfeckin, Baltray, Co. Louth, A92P9H3",400000,4,1,Detached,130,D1,53.738817,-6.301643,6942,baltray-louth,Louth,,NA
"Coast Road, Roundstone, Co. Galway, H91F6N1",600000,3,2,Semi-D,114,C3,53.393141,-9.921079,4890,roundstone-galway,Galway,"Built c. 2002, Site area 0.16 acre, Master bedroom with full bathroom ensuite., Gravel driveway to front with room for several cars., Extensive timber decking to the rear., Underfloor heating on the ground floor, Electric radiators on the first floor., Recessed lighting., Double glazed PVC windows and doors., Mains water and sewage.",2002
"Coppeen East, Enniskeane, Newcestown, Co. Cork, P47VK33",395000,3,4,Detached,173,B3,51.789271,-8.975895,5258,newcestown-cork,Cork,"Private countryside setting, Private decked area with stunning countryside views, All bedrooms en-suite, Private services, Oil fired central heating",2011
"Trentaboy, Drumkeen, Letterkenny, Co. Donegal, F93P7W4",475000,4,4,Detached,213,C1,54.885359,-7.733549,3732,letterkenny-donegal,Donegal,"Detached Family Home with double detached garage, Constructed 2005, Total floor area 213 sq m (2292 sq ft), Comprising 4 bedrooms, one of which is on ground floor, Decorated to a high standard, Occupying 0.29 hectare site (0.71 acres), Stone chip driveway., Concrete yard to rear of property, Garden to front and rear, Detached garage lofted.",2005
"Galey, Knockcroghery, Co. Roscommon, F42FP64",420000,5,4,Detached,231,C1,53.572585,-8.080708,5717,knockcroghery-roscommon,Roscommon,"Sought After Location, Highly Accessible to the thriving towns of Roscommon and Athlone, Quality 5 Bedroom Detached Dormer, Large Detached Garage, Accommodation comprises front internal porchway, Living room, Kitchen/Dining/Sitting room, Conservatory, utility, Bathroom and 2 no. bedrooms at groun, Mains Water, Septic Tank on Site, Mains Electricity.",2005
"Graffymore, Castlebar, Co. Mayo",100000,0,0,Site,0.95,N/A,53.85844237574986,-9.3516027220343,1662,castlebar-mayo,Mayo,"Full Planning Permission     , Quiet, Peaceful Rural Location, 5 Minute Drive to Castlebar Town Centre, 0.95 Acre Site",NA
"Leagard North, Miltown Malbay, Co. Clare, V95NH51",460000,2,0,Bungalow,88,SI_666,52.855322,-9.3867,5080,miltown-malbay-clare,Clare,"2 Bedroom Cottage in need of renovation, Within Walking distance to Miltown Malby Town and all its facilities, Close to local beaches, Peaceful, rural location , Availability to purchase as one lot or individual lots, Possible development potential, Folio No: CE25682",NA
"Site at Palmyra Ave, Galway City Centre",175000,0,0,Site,0.03,N/A,53.269705837907,-9.0645729022743,3179,N/A,N/A,,NA
"Claggan, Ballycroy, Co. Mayo",Price on Application,1,1,Detached,N/A,SI_666,53.972461494007916,-9.840452421754833,2224,ballycroy-mayo,Mayo,"Home Farm part of the renowned Clive's Estate, Unique opportunity, Scenic location",NA
"1 Oakbrook, Tanyard Woods, Millstreet, Co. Cork, P51Y9P3",270000,4,3,Detached,136,C1,52.0651433,-9.0517695,2192,millstreet-cork,Cork,,2006
"48 Hillcrest, Passage West, Passage West, Co. Cork, T12K18P",449000,3,3,Bungalow,161,C1,51.869723,-8.341757,5943,passage-west-cork,Cork,"Extended kitchen with island and superb fitted units, Oil fired central heating, PVC windows & doors, Fitted wardrobes, Ample off street parking, Landscaped gardens, front & rear",1995
"River Run Lodge, River Run Lodge, Glann Road, Oughterard, Co. Galway, H91W83H",985000,7,8,Detached,477,B3,53.433218,-9.322028,2225,oughterard-galway,Galway,"7 Bedrooms, Dining Room (Se), Family Room (Ne ,se), Sitting Room ( SW ,se), Wc, Drawing Room ( Nw), Second Sitting Room ( Sw, Nw), Dressing Room & Ensuite ( Nw), Utility Room, Kitchen Area ( Ne,nw)",1997
"66 St Marks Drive, D22VF79, Clondalkin, Dublin 22",275000,3,2,End of Terrace,83,C1,53.3433595,-6.3992639,7009,clondalkin-dublin,Dublin,,NA
"27 Summerstown Drive, Wilton, Glasheen, Co. Cork, T12NT3F",400000,3,2,Semi-D,110,G,51.881433,-8.505269,9857,glasheen-cork,Cork,,1967
"Mill Street, Tullow, Co. Carlow",155000,4,1,End of Terrace,N/A,G,52.8005013,-6.7341578,4692,tullow-carlow,Carlow,,NA
"35 Roche's Row, Cobh, Cobh, Co. Cork, P24VF90",285000,4,2,Terrace,151,D2,51.851731,-8.289062,4545,cobh-cork,Cork,"Central location , Spacious Rooms throughout , Natural gas  central heating ",1886
"Mill Street Tullow, Tullow, Co. Carlow",110000,0,1,Terrace,N/A,G,52.800231,-6.7340741,4840,tullow-carlow,Carlow,,1900
"Gortrush, Piltown, Co. Kilkenny",100000,0,0,Site,3.75,N/A,52.344188126710065,-7.296039933876926,2048,piltown-kilkenny,Kilkenny,"3.75 Acres, Grassland, Development Oppurtunity, Prime Location ",NA
"11 Lodge Wood, Kenmare, Co Kerry, V93NN26",310000,2,1,Bungalow,63,E1,51.880627,-9.581575,3144,kenmare-kerry,Kerry,"Prime location with spacious garden., Within 150 meters of Kenmare Town centre., Contents included (list available on request)., Storage shed to the rear. Parking space to the front., Services: Mains water. Mains sewerage., Oil central heating. Wired for telephone. Electricity., Fibre Optic Broadband available in the area, No management  company. for common areas of the housing development in the Lodge Wood.. Sold with the benefit of a right of way from the public road t",1992
"8 New Range, The Shannon, Enniscorthy, Co. Wexford, Y21W4C0",190000,3,1,Terrace,57,C3,52.501837,-6.562104,3636,enniscorthy-wexford,Wexford,,NA
"30 Lislee Road, Maryborough Estate, Rochestown, Co. Cork, T12WFR3",580000,4,2,Detached,131,C3,51.875822,-8.419117,3566,rochestown-cork,Cork,"**NATURAL GAS CENTRAL HEATING** , **WIDE CORNER SITE**",1975
"49 Gilroy Avenue, Edenderry, Co. Offaly, R45FE03",250000,3,2,Semi-D,87,G,53.339954,-7.068003,5653,edenderry-offaly,Offaly,,1935
"21 Saint Joseph Street, Limerick, Limerick City Centre, V94NH7N",315000,3,2,Terrace,82,G,52.65692,-8.63001,5909,N/A,N/A,Eligible for the Vacant Homes Grant. ,1899
"Ballymagowan Upper, Fanad, Co. Donegal",120000,0,0,Detached,N/A,N/A,55.1704321,-7.6654501,4545,fanad-donegal,Donegal,"Ideal family home or holiday home., Short drive to the village of Kerrykeel, The Fanad Peninsula is located in north Donegal and contains some of the finest scenery in the northwest., On the Wild Atlantic Way with numerous beaches and spectacular views the area is very scenic., There are several small independent shops dotted around the area and the main shopping area is Carrigart or Milford., One of the most famous lighthouses in Ireland is at the top of Fanad and well worth a visit.",NA
"7 Knights Wood, Matthew's Lane, Drogheda, Co. Louth, A92YXF3",275000,2,3,Terrace,92,A2,53.699523,-6.367196,9547,drogheda-louth,Louth,"Green Rated, Great investment or starter home , Walk in Wardrobe",NA
"Ballyclare, Longwood, Co. Meath, A83NX03",170000,2,0,Detached,41,G,53.481832,-6.904318,8700,longwood-meath,Meath,"80M of road frontage, Well water",1900
"39 Hazelwood, Bridgetown, Co. Wexford, Y35P985",195000,3,3,Terrace,87,C1,52.230838,-6.54731,2364,bridgetown-wexford,Wexford," Immaculate condition., c. 87m2, Highly sought after area., Bright & spacious accommodation., Adjacent to local secondary school., Primary school close-by., Spacious parking in immediate vicinity.",2001
"28 The Willows, Clonbalt Wood, Longford Town, Co. Longford, N39A8X2",285000,4,3,Detached,180,C3,53.745957,-7.797247,5365,longford-town-longford,Longford,,NA
"33 Wellington Road, Templeogue, Templeogue, Dublin 6W, D6WHH99",675000,4,2,Semi-D,142,E1,53.305956,-6.321937,5475,templeogue-dublin,Dublin,,1965
"Dromagorteen, Bonane, Kenmare, Co. Kerry, V93NH39",725000,4,5,Detached,13,B2,51.828661,-9.519267,4685,kenmare-kerry,Kerry,,2005
"Cloghabrody, c. 1 Acre Site, Thomastown, Co. Kilkenny",120000,0,0,Site,1,N/A,52.53527199250388,-7.13683854330327,1865,thomastown-kilkenny,Kilkenny,"Price in Excess of '¬120,000, Great opportunity to purchase zoned industrial land., Located in Thomastown and sited within easy access to all services and amenities. , Great potential to further develop, subject to the necessary planning consents. ",NA
"Saint Clares, Saint Clares, Mount Brilliant Road, Greens Hill, Kilkenny, Co. Kilkenny, R95NDE6",550000,3,1,Bungalow,98,F,52.665387,-7.25311,2863,kilkenny-kilkenny,Kilkenny,"Located in one of Kilkenny's most prestigious and sought after residential areas., Ten minutes walk to Kilkenny City and all major amenities., Suitable for owner occupiers looking for an exclusive address to update/refurb or for developers looking for a residential site for multiple units sub, Less than five minutes walk to Kilkenny Golf Course, Kilkenny College and Newpark Hotel., Oil fired central heating with mains gas service available for installation., Mains water, drainage and sewage.",1980
"Ballyorgan, Kilfinane, Co. Limerick, V35CY81",360000,4,3,Detached,N/A,C2,52.322079,-8.470275,4266,kilfinane-limerick,Limerick,"Oil Central Heating, DG UPVC Windows, Mains Water & Bio-cycle Sewerage, C2 BER, C.0.75 St. Acre mature landscape site., Turnkey Condition, 10 Minutes from both Kilmallock & Kilfinane 20 minutes of both Mictchelstown and Charleville 45",2006
"49 Charles Street, Listowel, Listowel, Co. Kerry, V31KV62",199000,4,2,End of Terrace,113,F,52.448276,-9.482224,8388,listowel-kerry,Kerry,"Location Location Location!, South facing rear garden with gated vehicle access to public laneway., Stone construction with flat roof block built extension to the rear, Oil fired central heating and solid fuel fireplace., All mains services (water & sewer), Mix of single and double glazed windows.",1870
"Bawnogues, Baltinglass, Co. Wicklow, W91P8C8",460000,4,3,Detached,159,C3,52.9367069,-6.7085696,2804,baltinglass-wicklow,Wicklow,"Mature bungalow on a stand-alone site within walking distance to town., Detached garage, Garden Shed and enclosed, child friendly gardens., Beautifully presented internally and low maintenance dry-dash exterior finish., 1 hour commute to Dublin City.Â Â  132 Bus route to Dublin 1 via Tallaght Hospital., Walking distance to all local services and a wide selection of established sports clubs.",1996
"1 Coronea Court, Coronea, Skibbereen, Co. Cork, P81XA02",255000,3,2,End of Terrace,N/A,C2,51.54047,-9.276976,3153,skibbereen-cork,Cork,,NA
"Bealaclave, Rearcross, Newport, Co. Tipperary, V94V832",AMV: 300000,3,1,Detached,N/A,N/A,52.6997074,-8.2448749,5039,newport-tipperary,Tipperary,,NA
"Newcastle, Moynalty, Kells, Co. Meath, A82EW40",AMV: 250000,4,1,Detached,N/A,N/A,53.8284155,-6.9210668,7500,kells-meath,Meath,,NA
"Knockroe, Athenry, Co. Galway",55000,0,0,Site,0.5,N/A,53.3008131,-8.7453768,1151,athenry-galway,Galway,"Approx. 0.5 Acre Site, Site has benefit of outline planning permission",NA
"5 Westhampton Place, Terenure, Terenure, Dublin 6, D6WAV91",550000,3,1,Semi-D,77,D1,53.313968,-6.283075,3662,terenure-dublin,Dublin,"C. 829 SqFt / 77 SqM , GFCH , Double glazed , Cul-de-sac , Low maintenance garden , Beside shops, cafés, restaurants and sports club , Great transport links on your doorstep , Selection of primary and secondary schools in the area ,  Adjacent to Terenure village , Convenient to M50 and city centre",1905
"Ferndale, Portlaoise, Co. Laois, R32YNF8",320000,3,2,Detached,95,D1,53.040726,-7.271634,5172,portlaoise-laois,Laois,"Hume Auctioneers - We Get The Pick Of The Crop, TAKE AN EXCLUSIVE HUME VIRTUAL TOUR NOW. CLICK BELOW, Vacant possession. No chain. Alarmed., Exclusive Neighbourhood, Mint condition, Large Private Garden With Garage and Shed, 1gb Fibre Broadband, Walking Distance To Schools Shops And Hospital, Oil Heating, Viewing Highly Recommended",1970
"Dun Mhuire, Killierisk, Tralee, Co. Kerry, V92H2X3",260000,3,2,Bungalow,96,F,52.261672,-9.68484,4870,tralee-kerry,Kerry,Benefits from planning permission,NA
"13 Gledswood Park Clonskeagh Dublin 14, Clonskeagh, Dublin 14, D14TF66",975000,4,2,Semi-D,140,B3,53.30409,-6.238202,3860,clonskeagh-dublin,Dublin,"Four-bedroom family home extending to approx 140 sqm (1,507sq.ft), Excellent versatile accommodation, Further potential to reconfigure/ extend subject to P.P., Private southwest facing garden to the rear, Gas fired central heating, Off street parking for at least three cars, EV charging point, Two large garages, Excellent location beside UCD in Clonskeagh, Every conceivable amenity on the doorstep and good transport links",1950
"Ballyorgan, Kilfinane, V35CY81",360000,4,4,Detached,N/A,C2,52.3591426,-8.4682225,3075,ballyorgan-limerick,Limerick,,2006
"1 Derrynane Terrace, Dalkey, Co Dublin, A96V840",1295000,4,2,Semi-D,138,BER_PENDING,53.277665,-6.103033,7473,dalkey-dublin,Dublin,,NA
"Roodstown, Ardee, Co. Louth, A92YR15",Price on Application,8,2,Detached,250,D2,53.872775,-6.499079,3238,ardee-louth,Louth,"Oil Heating, Well and Septic Tank, Excellent Location Accessible to Dublin and Belfast, Private driveway and large well maintained gardens to front , 3 Industrial Units included with the sale, Utility Room, Broadband, Beautiful mature trees and shrubbery",NA
"Liscahane, Millstreet, Co. Cork, P51X973",Price on Application,5,4,Detached,325,D2,52.050835,-9.051739,4224,millstreet-cork,Cork,"Tarmac yard and approach driveway, Mature gardens , Close to Millstreet town , Oudoor artificial bowling green, Fully fitted kichen, Solid wood fitted wardrobes , Mahogany internal doors, Tylo jacuzzi bath and steam combo, Glasshouse",1978
"Ben Eadair 16 Balscadden Road Howth, Howth, Dublin 13, D13CH92",1950000,5,0,Detached,270,N/A,53.38622,-6.060911,12198,howth-dublin,Dublin,"Exceptional views of Howth Harbour, IrelandÂ’s Eye, and DublinÂ’s North Coast, Prime Howth location with all amenities on your doorstep, Elevated position offering privacy and tranquility, Spacious accommodation with uninterrupted, unparalleled views of the sea, Many of the original period features still intact, Two separate car garages provide for off street parking, Period property of 3,000 sqft (approx.)",NA
"33 Log Na Gcapall, South Circular Road, South Circular Road, Co. Limerick, V94HAX9",Price on Application,4,3,Semi-D,120,C2,52.646267,-8.647044,3855,south-circular-road-limerick,Limerick,,1998
"199 New Seskin Court, Arena, Oldbawn, Dublin 24, D24FW93",199950,1,1,Apartment,47,D1,53.284057,-6.377199,7919,oldbawn-dublin,Dublin,"Large Balcony, Newly Decorated, Private Development, Car Parking Space, Mountain View, Beside The Square Shopping Centre & Luas",2007
"The Slate House, 1 Newman's Mall, Kinsale, Co. Cork, P17F882",295000,2,1,Terrace,62,E1,51.707254,-8.523371,5726,kinsale-cork,Cork,"Ideal holiday home, investment or starter property., Good condition throughout, PVC double glazed windows, Located in the heart of Kinsale town centre., Constructed in 1974",1974
"5 Riverbank, Belgooly, Co. Cork, P17D452",495000,4,3,Detached,180,B3,51.73569,-8.486743,3155,belgooly-cork,Cork,"Stunning Four Bedroom Detached Home. , Within walking distance of Belgooly village. , Generous accommodation of C. 180sq.m.,  Flawlessly presented throughout. , Private gardens with exquisite deck area. ",2004
"7 Maple Drive, Royal Oak Road, Bagenalstown, Co. Carlow, R21E766",335000,4,2,Semi-D,140,D2,52.699583,-6.966564,5083,bagenalstown-carlow,Carlow,"Superb location, Close to rail and bus links, Large extended family home, Drive way parking",1979
"14 Cove Walk Avenue, Kinsale Manor, Kinsale, Co. Cork, P17TH26",495000,3,3,Semi-D,111,A3,51.711637,-8.525531,5295,kinsale-cork,Cork,"Stunning three bedroom semi-detached home, Within walking distance of Kinsale town centre & all its wonderful amenities , Flawlessly presented throughout, Private south-west facing rear gardens, perfect for al-fresco dining, Boasts high levels of energy efficiencies",2017
"Ringsherane, Carne, Co. Wexford, Y35A0W0",475000,3,2,Detached,127,G,52.185836,-6.38847,6012,carne-wexford,Wexford,"Unique setting with lakeside views, Brilliant quality retreat, Private and tranquil setting, Presented in turnkey condition, Approx 3.7 acres with useful outbuildings, Services - O.F.C.H., Septic tank sewage, ESB, Water, Broadband available",1797
"21 Halldene Estate, Curraheen Road, Bishopstown, Co. Cork, T12EW6E",420000,3,1,Semi-D,113,E1,51.875383,-8.535551,4559,bishopstown-cork,Cork,,1965
"21 Saint James's Road, Greenhills, Greenhills, Dublin 12, D12E1R7",425000,3,1,Terrace,90,C2,53.312465,-6.332284,3255,greenhills-dublin,Dublin,,1963
"Church View, Ballindaggan, Co. Wexford, Y21XN96",250000,2,1,Bungalow,52,D2,52.567548,-6.679735,2681,ballindaggan-wexford,Wexford,,NA
"Phayers Road, Meelick, Co. Clare",220000,0,0,Site,0.74,N/A,52.70082336,-8.65331001,2295,meelick-clare,Clare,"Outline Planning Permission granted, Excellent road frontage, 6km from Limerick City ",NA
"25 Long Meadows, Old Sion Road, Kilkenny, R95C7KH",795000,5,4,Detached,227,A2,52.647569,-7.229595,6849,kilkenny-kilkenny,Kilkenny,,1900
"71 Glasgow Park, Limerick City, Co. Limerick, V94X6XC",175000,3,1,Terrace,N/A,D1,52.651609,-8.6057,5805,limerick-city,Limerick,"Double glazed UPVC windows, Gas fired central heating, Enclosed gated front yard and rear garden with shed, Excellent local transport, Just 10 minute walk to city centre, Possible investment opportunity",1975
"Rossbrien House & Farm, Rossbrien, Co. Limerick, V94FR94",2800000,0,0,Site,168,N/A,52.63399,-8.622081,3133,rossbrien-limerick,Limerick,"For sale as a whole or in 4 lots, Beautiful period house occupying a private setting, Landscaped gardens, impressive stone courtyard, Range of traditional outbuildings, farm buildings and paddock, 4 kilometres from Limerick City, Single block of productive farmland with road frontage, Potential site (subject to planning permission)",NA
"Land Adjoining The Belfry - Lot 3, Rossbrien, Co. Limerick",490000,0,0,Site,37.5,N/A,52.629519,-8.628162,1835,rossbrien-limerick,Limerick,"Frontage onto the Mill Road, Ring-fenced block of land, Mature hedgerows and wire fencing, 4km from Limerick City Centre, Good quality grassland",NA
"Rossbrien House - Lot 1, Rossbrien, Co. Limerick, V94FR94",660000,0,0,Site,6.4,N/A,52.63399,-8.622081,7590,rossbrien-limerick,Limerick,"Charming period house situated on the edge of Limerick City, Landscaped gardens, Impressive stone courtyard, Range of traditional outbuildings, farm buildings and paddock, Minutes from Limerick City Centre",NA
"Rossbrien Farmland - Lot 2, Rossbrien, Co. Limerick",1600000,0,0,Site,122.5,N/A,52.63616,-8.621275,0,rossbrien-limerick,Limerick,"Extensive Road frontage, Multiple access points, 4km from Limerick City Centre, Quality farmland, Single block",NA
"6 Arbour Court, Grange, Douglas, Co. Cork, T12D1W7",575000,5,2,Bungalow,191,C2,51.869844,-8.450319,7660,douglas-cork,Cork,"Beautiful private detached bungalow in a cul de sac setting, Approx. 191 sq m / 2056 sq ft, Recently decorated internally, Upgraded deck, Professionally landscaped artificial lawn, Private site in mature setting, Fruit trees, Walking distance of Douglas Village, On the bus route (206)",1979
"Rossbrien Potential Site - Lot 4, Rossbrien, Co. Limerick",50000,0,0,Site,1.4,N/A,52.630267,-8.618721,4378,rossbrien-limerick,Limerick,"Potential for an exceptional site, Idyllic countryside setting, Located minutes from Limerick City Centre, Excellent transportation links, Close proximity to the M7 motorway",NA
"Cappaduff, Mountshannon, Co. Clare",50000,2,0,Detached,52,SI_666,52.93105271613584,-8.443836869633174,0,mountshannon-clare,Clare,"Contained in Folio No CE1199F Co. Clare., Derelict stone out-buildings (Circa 34.42 Sq Mts)., Property should qualify for the Vacant Property Refurbishment Grant & The Energy Upgrade Grant (Subject to Application & Approval)., Property previously had Full Planning Permission to renovate & extend - since expired",NA
"39 Monastery Gate Green, D22HN72, Clondalkin, Dublin 22",335000,3,3,End of Terrace,92,C3,53.3200948,-6.3768329,3912,clondalkin-dublin,Dublin,,NA
"35 Dundanion Court, Blackrock, Blackrock, Co. Cork, T12W6P9",450000,4,2,Terrace,110,C3,51.896745,-8.421625,6406,blackrock-cork,Cork,"** PRIVATE MATURED LOCATION**, **GARAGE**, **NATURAL GAS CENTRAL HEATING**",1964
"18, Block A, Aras na Cluaine, Clondalkin, Dublin 22",220000,2,2,Apartment,74,C2,53.3280275,-6.3834557,3830,clondalkin-dublin,Dublin,,NA
"Soran, Ballinalee, Esker South, Co. Longford, N39N8Y0",195000,2,1,Detached,N/A,G,53.796293,-7.670539,3842,esker-south-longford,Longford,,NA
"Cahernagarry, Kilrickle, Loughrea, Co. Galway",500000,5,3,Detached,207,A2,53.23975570248328,-8.510261262552575,4131,loughrea-galway,Galway,"Impressive detached two storey residence under construction, With detached garage, Priced from '¬500,000, A2 energy rating, Air to water heating system, Underfloor heating, Hollowcore concrete floor, Feature stone wall to front boundary, Within commuting distance of Galway, Athlone or Shannon, Located midway between Bullaun & Kilrickle Village",NA
"Killimordaly, Athenry, Co. Galway",490000,4,3,Detached,228,A3,53.30320274023583,-8.606903161581073,5685,athenry-galway,Galway,"Excellent Location, Currently underconstruction, Generous Allowances for sanitary ware and tiling",NA
"3 St Johns Court, Park Avenue, Sandymount, Dublin 4, D04CK64",475000,2,1,Apartment,74,E1,53.324453,-6.212053,3852,dublin-4-dublin,Dublin,"Excellent location, Spacious accommodation 74 sq m (797 sq ft), Mature development, Ideal home or investment, Ground floor apartment, Off street car space, G.F.C.H., Double glazed windows, Service Charge Â€2,000 PA",1971
"25 Meadowbrook Court, Maynooth, Co. Kildare, W23R6X0",415000,4,1,Semi-D,100,C1,53.371,-6.598202,7280,maynooth-kildare,Kildare,,1995
"Garryrhu House, Limerick Road, Charleville, Co Cork, P56AX97",475000,4,3,Detached,254,SI_666,52.359172,-8.682991,3770,charleville-cork,Cork,"Situated on secluded 1.1 acre site, Located 0.5 km from Charleville town centre, Mature landscaped gardens, Well laid out living accommodation, Extending to 253.87 sqm/2,733 sq.ft, OFCH, Mains services, Full planning permission for modern, contemporary 'A' rated home to rear, Shannon, Kerry and Cork Airports are all within an hour’s drive., Ballyhoura Mountain Bike Trail head is a short drive from the property, the starting point for over 100kms of action packed mountain bike trails. The ",NA
"7 Pierce Court, Wexford Town, Co. Wexford, Y35FHN0",200000,2,2,Apartment,76,D1,52.336376,-6.457389,6314,wexford-town-wexford,Wexford,"Great Location , Sea Views , Spacious Apartment, Broadband, Bins and Parking",NA
"2 Abbey Court, Frenchpark, Frenchpark, Co. Roscommon, F45H422",120000,3,2,Terrace,83,C2,53.870508,-8.405395,2687,frenchpark-roscommon,Roscommon,,1998
"29 Bridge Street, Carrick-On-Suir, Carrickbeg, Co. Tipperary, E32W984",110000,2,1,Detached,70,G,52.34596,-7.414727,4324,carrickbeg-tipperary,Tipperary,,NA
"17 Portavolla, Banagher, Co. Offaly, R42HY28",149000,2,2,Semi-D,74,D1,53.191829,-7.987194,2666,banagher-offaly,Offaly,"Nice south facing gardens, In the town of Banagher, Ideal starter home, Investment opportunity, All Services ",NA
"16 Railway Road, Dalkey, Co. Dublin, A96W1X5",1500000,4,1,Terrace,170,D1,53.276409,-6.103563,8276,dalkey-dublin,Dublin,,NA
"10 Wallace Court, Ballinlough, Ballinlough, Co. Roscommon, F45F540",195000,3,2,Terrace,90,D2,53.741571,-8.633281,1286,ballinlough-roscommon,Roscommon,,NA
"3 Rack Hill, Carrickbeg, Carrickbeg, Co. Tipperary, E32TD65",120000,2,1,Detached,52,G,52.34514,-7.418496,3872,carrickbeg-tipperary,Tipperary,,NA
"6 Laurel Manor, Rathfarnham, Rathfarnham, Dublin 16, D16P7Y0",800000,4,4,End of Terrace,135,A3,53.274261,-6.303338,3164,rathfarnham-dublin,Dublin,,NA
"Apartment 40, Slade Castle Avenue, Saggart, Co. Dublin, D24YP8Y",199950,1,1,Apartment,N/A,C3,53.278814,-6.445756,4206,saggart-dublin,Dublin,,2006
"16 Charleville Square, Rathfarnham, Rathfarnham, Dublin 14, D14H272",850000,4,3,End of Terrace,160,C2,53.295779,-6.293716,3591,rathfarnham-dublin,Dublin,"GFCH, Double glazed , Private setting  , Automatic entrance gates to the development , Designated parking and ample visitor parking, Communal landscaped grounds, Beside Rathfarnham Shopping Centre and village, Beside bus routes and Bushy Park ",NA
"Ref 1143 - Villa Nova, Castlequin, Cahersiveen, Co. Kerry",398000,4,2,Detached,329,SI_666,51.95646422788744,-10.227774016533772,12510,cahersiveen-kerry,Kerry,"Walking distance to Town & Marina, Beautiful views, Short distance to Beach, Listed building, Several out buildings, Mature grounds, Development potential, Walled gardens",NA
"Ceol Na Mara, Caherush, Quilty, Spanish Point, Co. Clare, V95W5P2",550000,3,3,Detached,149,C1,52.830954,-9.440781,13240,spanish-point-clare,Clare,"Uninterrupted exceptional sea views over Spanish Point Bay, Cliffs of Moher, Aran Islands, , On entering the home, you are immediately drawn to the spectacular ocean views and the abundance of natural light , Exceptional finishes throughout, White window shutters fitted. to all rooms to the front of the home, Modern open plan accommodation that is bright and spacious, Solid wood Kitchen with modern finishes including island and quartz worktops., Oil fired central heating.",NA
"52 Lios Árd, Ballyhooly, Co. Cork, P51F8W5",248500,3,3,Semi-D,130,C1,52.146444,-8.396264,5619,ballyhooly-cork,Cork,"Spacious 3 bedroomed home in turnkey condition., Prime location close to Ballyhooly village and its amenities., Private parking., Large private rear garden with patio area., Gas fired central heating., BER C1",2007
"Leam, Boyle, Co. Roscommon, F52TY01",270000,3,3,Detached,16,C1,53.932299,-8.305147,6757,boyle-roscommon,Roscommon,,1930
"Donore, Bagenalstown, Co. Carlow, R21XK64",348000,4,3,Detached,188,C3,52.685138,-6.94948,6569,bagenalstown-carlow,Carlow,"Superb condition and very well maintained, PVC double glazed windows",2005
"24 Laurel Manor, Rathfarnham, Rathfarnham, Dublin 16, D16W2H3",760000,4,4,End of Terrace,144,A3,53.273937,-6.304234,2342,rathfarnham-dublin,Dublin,,NA
"Site at, Site at, 6 Cuil An Ri, Dungory West, Kinvara, Co. Galway",295000,0,0,Detached,0.36,N/A,53.140322,-8.92496,1802,kinvara-galway,Galway,,NA
"41 Harbour Close, Newtown, Killaloe, Co. Clare, V94PFY6",235000,3,3,Terrace,103,B3,52.813105,-8.454259,6007,killaloe-clare,Clare,"Sold as seen to include contents., Services to include - Night storage electric heating. Mains water & mains sewerage., PVC double glazed windows & hardwood front entrance door., Communal parking. Maintenance-free rear garden with large, paved patio area., Active Management Company in place. Current Annual Fee - Circa '¬1,800 Per Year., Built in 2008. Ideal investment or holiday home., Located close to an array of leisure activities to include water sports, walking trails, UL Activity Centre, Kincora & Derg Marinas, GAA, soccer & rug",2006
"5 Putland Villas, Bray, Co. Wicklow, A98C6H2",850000,5,3,Semi-D,200,B1,53.191092,-6.103884,6459,bray-wicklow,Wicklow,,1948
"106 Glenvara Park, Knocklyon, Dublin 16, D16XK24",575000,4,1,Semi-D,143,B3,53.279698,-6.330464,6579,knocklyon-dublin,Dublin,,1988
